transaction_id,user_id,timestamp,amount,device_id,merchant_id,city,is_fraud,fraud_type
T000745,U0025,2026-07-01 03:49:00,1170.39,D0797,M045,Chennai,0,
T001212,U0042,2026-07-01 03:58:00,2228.52,D0330,M011,Delhi,0,
T002482,U0084,2026-07-01 04:16:00,1226.87,D0549,M025,Mumbai,0,
T001385,U0046,2026-07-01 05:27:00,2502.55,D0715,M043,Hyderabad,0,
T005698,U0195,2026-07-01 05:30:00,2098.03,D0306,M014,Delhi,0,
T005946,U0203,2026-07-01 05:50:00,932.83,D0603,M059,Mumbai,0,
T003563,U0118,2026-07-01 05:50:00,618.21,D0095,M057,Jaipur,0,
T002033,U0068,2026-07-01 06:14:00,356.2,D0439,M027,Mumbai,0,
T005314,U0182,2026-07-01 06:16:00,3106.78,D0821,M048,Pune,0,
T003102,U0102,2026-07-01 06:34:00,540.14,D0134,M007,Lucknow,0,
T005100,U0176,2026-07-01 07:05:00,4714.08,D0510,M018,Hyderabad,0,
T001862,U0063,2026-07-01 07:18:00,1908.82,D0853,M037,Lucknow,0,
T000306,U0010,2026-07-01 07:18:00,2465.22,D0032,M018,Delhi,0,
T005248,U0180,2026-07-01 07:45:00,2586.56,D0032,M050,Lucknow,0,
T001210,U0042,2026-07-01 07:57:00,1341.28,D0330,M018,Delhi,0,
T003568,U0118,2026-07-01 08:06:00,572.67,D0810,M035,Jaipur,0,
T003270,U0108,2026-07-01 08:26:00,3684.6,D0549,M023,Ahmedabad,0,
T004419,U0151,2026-07-01 08:28:00,1943.85,D0683,M010,Lucknow,0,
T007203,U0246,2026-07-01 08:42:00,5381.05,D0518,M011,Delhi,0,
T002602,U0087,2026-07-01 08:45:00,560.47,D0536,M030,Ahmedabad,0,
T000282,U0009,2026-07-01 08:46:00,1528.09,D0072,M047,Ahmedabad,0,
T003984,U0132,2026-07-01 08:55:00,1126.65,D0367,M008,Kolkata,0,
T003574,U0118,2026-07-01 08:56:00,451.8,D0095,M035,Jaipur,0,
T002305,U0077,2026-07-01 08:56:00,2494.52,D0129,M017,Chennai,0,
T002545,U0085,2026-07-01 09:06:00,3338.2,D0357,M032,Jaipur,0,
T000018,U0001,2026-07-01 09:06:00,2038.09,D0588,M045,Mumbai,0,
T005469,U0187,2026-07-01 09:07:00,3209.78,D0829,M043,Hyderabad,0,
T005792,U0198,2026-07-01 09:14:00,332.45,D0897,M053,Kolkata,0,
T000788,U0026,2026-07-01 09:16:00,1326.51,D0111,M010,Lucknow,0,
T000037,U0001,2026-07-01 09:17:00,2270.25,D0588,M005,Mumbai,0,
T006141,U0210,2026-07-01 09:20:00,3304.78,D0721,M058,Jaipur,0,
T000660,U0022,2026-07-01 09:21:00,844.13,D0334,M012,Mumbai,0,
T002012,U0067,2026-07-01 09:21:00,1532.0,D0345,M053,Hyderabad,0,
T003337,U0110,2026-07-01 09:24:00,3840.13,D0355,M011,Mumbai,0,
T002796,U0092,2026-07-01 09:31:00,4280.2,D0167,M007,Lucknow,0,
T004363,U0148,2026-07-01 09:31:00,5363.15,D0393,M006,Mumbai,0,
T001998,U0067,2026-07-01 09:37:00,1133.68,D0445,M005,Hyderabad,0,
T006177,U0211,2026-07-01 09:40:00,602.16,D0230,M048,Kolkata,0,
T007144,U0244,2026-07-01 09:42:00,2625.24,D0640,M033,Mumbai,0,
T005646,U0194,2026-07-01 09:42:00,2948.15,D0063,M035,Hyderabad,0,
T006185,U0211,2026-07-01 09:45:00,1066.15,D0230,M048,Kolkata,0,
T002118,U0070,2026-07-01 09:48:00,491.22,D0635,M041,Bengaluru,0,
T003899,U0129,2026-07-01 09:51:00,1843.46,D0426,M060,Kolkata,0,
T001910,U0064,2026-07-01 09:53:00,4726.75,D0368,M033,Kolkata,0,
T006688,U0229,2026-07-01 09:59:00,513.67,D0886,M014,Pune,0,
T000333,U0011,2026-07-01 10:04:00,669.72,D0151,M006,Chennai,0,
T003351,U0111,2026-07-01 10:14:00,2362.88,D0309,M050,Delhi,0,
T002309,U0077,2026-07-01 10:17:00,3429.97,D0129,M025,Chennai,0,
T002829,U0093,2026-07-01 10:24:00,734.21,D0840,M057,Jaipur,0,
T006980,U0238,2026-07-01 10:25:00,2090.98,D0718,M019,Lucknow,0,
T000193,U0006,2026-07-01 10:31:00,3270.03,D0145,M039,Delhi,0,
T002538,U0085,2026-07-01 10:32:00,4211.77,D0357,M012,Jaipur,0,
T003917,U0129,2026-07-01 10:38:00,4844.05,D0426,M060,Kolkata,0,
T003367,U0112,2026-07-01 10:40:00,1383.43,D0854,M045,Jaipur,0,
T007147,U0244,2026-07-01 10:51:00,3990.07,D0640,M033,Mumbai,0,
T002939,U0096,2026-07-01 11:00:00,2666.86,D0002,M017,Pune,0,
T006397,U0218,2026-07-01 11:01:00,509.16,D0271,M018,Lucknow,0,
T003619,U0120,2026-07-01 11:02:00,670.32,D0763,M022,Hyderabad,0,
T000196,U0006,2026-07-01 11:11:00,4245.17,D0145,M006,Delhi,0,
T000320,U0010,2026-07-01 11:12:00,1093.5,D0032,M016,Delhi,0,
T002705,U0090,2026-07-01 11:14:00,331.29,D0667,M050,Lucknow,0,
T000351,U0012,2026-07-01 11:27:00,1135.96,D0844,M010,Chennai,0,
T003336,U0110,2026-07-01 11:28:00,6006.08,D0355,M056,Mumbai,0,
T006555,U0224,2026-07-01 11:28:00,3279.86,D0191,M012,Bengaluru,0,
T006275,U0214,2026-07-01 11:30:00,1711.09,D0674,M016,Jaipur,0,
T007044,U0240,2026-07-01 11:34:00,302.49,D0683,M007,Chennai,0,
T001782,U0060,2026-07-01 11:40:00,5473.96,D0156,M011,Ahmedabad,0,
T007080,U0241,2026-07-01 11:42:00,387.78,D0020,M041,Lucknow,0,
T002080,U0069,2026-07-01 11:42:00,3266.97,D0108,M029,Delhi,0,
T007043,U0240,2026-07-01 11:44:00,484.62,D0683,M019,Chennai,0,
T006460,U0220,2026-07-01 11:45:00,3143.27,D0850,M015,Mumbai,0,
T001911,U0064,2026-07-01 11:47:00,273.78,D0368,M033,Kolkata,0,
T007054,U0241,2026-07-01 12:01:00,361.61,D0020,M006,Lucknow,0,
T001649,U0055,2026-07-01 12:06:00,453.12,D0612,M047,Kolkata,0,
T005121,U0176,2026-07-01 12:10:00,3357.01,D0510,M010,Hyderabad,0,
T006440,U0220,2026-07-01 12:10:00,1800.34,D0850,M015,Mumbai,0,
T003301,U0109,2026-07-01 12:13:00,4480.73,D0831,M022,Pune,0,
T001220,U0042,2026-07-01 12:16:00,2320.77,D0663,M022,Delhi,0,
T002816,U0092,2026-07-01 12:16:00,3354.56,D0167,M033,Lucknow,0,
T004707,U0162,2026-07-01 12:20:00,2404.98,D0174,M006,Pune,0,
T005771,U0197,2026-07-01 12:20:00,2287.44,D0810,M004,Ahmedabad,0,
T002883,U0095,2026-07-01 12:22:00,1269.03,D0808,M056,Jaipur,0,
T004590,U0158,2026-07-01 12:24:00,3787.3,D0070,M048,Delhi,0,
T002202,U0073,2026-07-01 12:25:00,2104.2,D0175,M034,Pune,0,
T004255,U0144,2026-07-01 12:29:00,1060.31,D0465,M006,Lucknow,0,
T004115,U0139,2026-07-01 12:30:00,1898.09,D0275,M022,Kolkata,0,
T001140,U0038,2026-07-01 12:30:00,5295.59,D0045,M032,Hyderabad,0,
T000096,U0003,2026-07-01 12:32:00,67.02,D0682,M057,Delhi,0,
T004210,U0143,2026-07-01 12:33:00,3542.33,D0517,M018,Jaipur,0,
T005848,U0200,2026-07-01 12:34:00,4672.64,D0713,M060,Pune,0,
T002633,U0088,2026-07-01 12:40:00,4183.43,D0182,M027,Bengaluru,0,
T005400,U0185,2026-07-01 12:43:00,739.66,D0391,M054,Pune,0,
T007019,U0239,2026-07-01 12:46:00,1157.36,D0371,M025,Hyderabad,0,
T000637,U0021,2026-07-01 12:46:00,1758.07,D0692,M059,Jaipur,0,
T002293,U0076,2026-07-01 12:50:00,1839.54,D0095,M023,Chennai,0,
T005186,U0178,2026-07-01 12:54:00,1958.39,D0489,M041,Jaipur,0,
